Start_Building,Start_Lat,Start_Lon,End_Building,End_Lat,End_Lon,Distance (m),Terrain,Walking_Speed (m/s),ETA (min),Path
ACADEMIC BLOCK,3.005997,101.721394,ADMINISTRATION BLOCK,3.006333,101.720479,108.29,concrete,1.3,1.39,"[(3.005997, 101.721394), (3.006333, 101.720479)]"
ACADEMIC BLOCK,3.005997,101.721394,ION2,3.008366,101.72091,377.61,concrete,1.3,4.84,"[(3.005997, 101.721394), (3.006333, 101.720479), (3.006589, 101.720572), (3.006814, 101.720654), (3.006883, 101.72068), (3.007036, 101.720743), (3.007031, 101.720755), (3.007255, 101.720848), (3.007472, 101.720934), (3.00765, 101.721013), (3.007757, 101.721061), (3.007843, 101.7211), (3.007979, 101.721155), (3.008179, 101.721234), (3.008229, 101.721254), (3.008366, 101.72091)]"
ACADEMIC BLOCK,3.005997,101.721394,KAA I,3.006982,101.721075,179.54,concrete,1.3,2.3,"[(3.005997, 101.721394), (3.006686, 101.721655), (3.006671, 101.721697), (3.006763, 101.721731), (3.006848, 101.721528), (3.006873, 101.721471), (3.006827, 101.721453), (3.006941, 101.721179), (3.006982, 101.721075)]"
ACADEMIC BLOCK,3.005997,101.721394,KAA II,3.004261,101.721313,221.98,concrete,1.3,2.85,"[(3.005997, 101.721394), (3.00568, 101.721268), (3.005457, 101.721179), (3.005437, 101.721222), (3.005268, 101.721152), (3.005084, 101.721081), (3.004978, 101.721146), (3.004871, 101.721149), (3.004773, 101.721204), (3.004498, 101.721358), (3.00443, 101.721227), (3.004368, 101.721258), (3.004333, 101.721276), (3.004296, 101.721295), (3.004261, 101.721313)]"
ACADEMIC BLOCK,3.005997,101.721394,KAW I,3.00676,101.720992,204.98,concrete,1.3,2.63,"[(3.005997, 101.721394), (3.006686, 101.721655), (3.006671, 101.721697), (3.006763, 101.721731), (3.006848, 101.721528), (3.006873, 101.721471), (3.006827, 101.721453), (3.006689, 101.721399), (3.006839, 101.721022), (3.00676, 101.720992)]"
ACADEMIC BLOCK,3.005997,101.721394,KAW II,3.004961,101.721446,139.96,concrete,1.3,1.79,"[(3.005997, 101.721394), (3.00568, 101.721268), (3.005457, 101.721179), (3.005437, 101.721222), (3.005268, 101.721152), (3.005208, 101.721289), (3.004975, 101.721407), (3.004961, 101.721446)]"
ACADEMIC BLOCK,3.005997,101.721394,KBP I (EAST),3.006915,101.720413,193.95,concrete,1.3,2.49,"[(3.005997, 101.721394), (3.006333, 101.720479), (3.006589, 101.720572), (3.006814, 101.720654), (3.006915, 101.720413)]"
ACADEMIC BLOCK,3.005997,101.721394,KBP I (NORTH),3.007784,101.720685,306.42,concrete,1.3,3.93,"[(3.005997, 101.721394), (3.006333, 101.720479), (3.006589, 101.720572), (3.006814, 101.720654), (3.006883, 101.72068), (3.007036, 101.720743), (3.007031, 101.720755), (3.007255, 101.720848), (3.007472, 101.720934), (3.00765, 101.721013), (3.007784, 101.720685)]"
ACADEMIC BLOCK,3.005997,101.721394,KBP II,3.004822,101.722189,222.17,concrete,1.3,2.85,"[(3.005997, 101.721394), (3.00568, 101.721268), (3.005623, 101.721395), (3.005591, 101.721465), (3.005576, 101.721497), (3.005606, 101.72151), (3.00541, 101.721997), (3.005367, 101.721982), (3.005342, 101.722047), (3.005328, 101.722084), (3.005148, 101.722012), (3.004964, 101.721938), (3.004945, 101.721931), (3.004858, 101.722115), (3.004822, 101.722189)]"
ACADEMIC BLOCK,3.005997,101.721394,KEE I,3.007416,101.720382,268.78,concrete,1.3,3.45,"[(3.005997, 101.721394), (3.006333, 101.720479), (3.006589, 101.720572), (3.006814, 101.720654), (3.006883, 101.72068), (3.007036, 101.720743), (3.00711, 101.720567), (3.007306, 101.720653), (3.007416, 101.720382)]"
ACADEMIC BLOCK,3.005997,101.721394,KEE II,3.004173,101.719735,341.24,concrete,1.3,4.37,"[(3.005997, 101.721394), (3.00568, 101.721268), (3.005457, 101.721179), (3.005437, 101.721222), (3.005268, 101.721152), (3.005084, 101.721081), (3.004978, 101.721146), (3.004847, 101.720894), (3.004764, 101.720739), (3.004513, 101.720714), (3.004514, 101.720438), (3.004514, 101.720153), (3.004375, 101.720073), (3.004339, 101.72004), (3.004319, 101.720021), (3.004172, 101.720023), (3.004173, 101.719735)]"
ACADEMIC BLOCK,3.005997,101.721394,KKA I,3.007845,101.72149,346.81,concrete,1.3,4.45,"[(3.005997, 101.721394), (3.006333, 101.720479), (3.006589, 101.720572), (3.006814, 101.720654), (3.006883, 101.72068), (3.007036, 101.720743), (3.007031, 101.720755), (3.007255, 101.720848), (3.007472, 101.720934), (3.00765, 101.721013), (3.007757, 101.721061), (3.007843, 101.7211), (3.007979, 101.721155), (3.007845, 101.72149)]"
ACADEMIC BLOCK,3.005997,101.721394,KKA II,3.003791,101.720491,303.49,concrete,1.3,3.89,"[(3.005997, 101.721394), (3.00568, 101.721268), (3.005457, 101.721179), (3.005437, 101.721222), (3.005268, 101.721152), (3.005084, 101.721081), (3.004978, 101.721146), (3.004847, 101.720894), (3.004764, 101.720739), (3.004513, 101.720714), (3.00427, 101.720713), (3.004201, 101.720668), (3.004177, 101.720652), (3.003789, 101.720644), (3.003791, 101.720491)]"
ACADEMIC BLOCK,3.005997,101.721394,KKK II,3.004514,101.720438,235.06,concrete,1.3,3.01,"[(3.005997, 101.721394), (3.00568, 101.721268), (3.005457, 101.721179), (3.005437, 101.721222), (3.005268, 101.721152), (3.005084, 101.721081), (3.004978, 101.721146), (3.004847, 101.720894), (3.004764, 101.720739), (3.004513, 101.720714), (3.004514, 101.720438)]"
ACADEMIC BLOCK,3.005997,101.721394,KMP I,3.007385,101.721337,263.51,concrete,1.3,3.38,"[(3.005997, 101.721394), (3.006686, 101.721655), (3.006671, 101.721697), (3.006763, 101.721731), (3.006848, 101.721528), (3.006873, 101.721471), (3.007037, 101.721538), (3.007244, 101.721023), (3.007406, 101.721093), (3.007474, 101.721122), (3.007385, 101.721337)]"
ACADEMIC BLOCK,3.005997,101.721394,KMP II,3.004601,101.721031,188.14,concrete,1.3,2.41,"[(3.005997, 101.721394), (3.00568, 101.721268), (3.005457, 101.721179), (3.005437, 101.721222), (3.005268, 101.721152), (3.005084, 101.721081), (3.004978, 101.721146), (3.004847, 101.720894), (3.00482, 101.72091), (3.004601, 101.721031)]"
ACADEMIC BLOCK,3.005997,101.721394,KPM I,3.008275,101.721383,357.67,concrete,1.3,4.59,"[(3.005997, 101.721394), (3.006333, 101.720479), (3.006589, 101.720572), (3.006814, 101.720654), (3.006883, 101.72068), (3.007036, 101.720743), (3.007031, 101.720755), (3.007255, 101.720848), (3.007472, 101.720934), (3.00765, 101.721013), (3.007757, 101.721061), (3.007843, 101.7211), (3.007979, 101.721155), (3.008179, 101.721234), (3.008229, 101.721254), (3.008312, 101.721289), (3.008275, 101.721383)]"
